"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","200","Gross domestic product (GDP) by state","11","23","  Construction",340697,380461,418395,462338,488008,494856,527133,587529,654105,698228,714988,652984,577295,541617,546614,586676,619923,652723
"00000","United States","","200","Gross domestic product (GDP) by state","12","31-33","  Manufacturing",1390088,1435125,1493708,1555335,1478483,1472749,1531094,1619158,1704173,1804221,1854330,1814120,1726712,1830585,1907311,1994583,2028481,2090709
"00000","United States","","200","Gross domestic product (GDP) by state","13","...","   Durable goods manufacturing",827341,852712,876872,926985,835053,834705,865892,908498,959473,1005359,1030035,994444,874274,956595,1003844,1054288,1088529,1135885
"00000","United States","","200","Gross domestic product (GDP) by state","14","321","    Wood products manufacturing",26866,27548,29409,28335,27364,27371,28854,32760,34865,31771,29131,25326,20667,22081,22127,23868,25917,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","15","327","    Nonmetallic mineral products manufacturing",39954,40944,43335,42717,41503,41985,42223,45551,49051,50618,50275,43809,37330,36181,36062,38784,40306,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","16","331","    Primary metals manufacturing",48164,48975,46163,47024,40520,41929,39523,55438,56636,62978,64707,67322,40111,48444,58119,63038,63591,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","17","332","    Fabricated metal products",110517,111993,116358,121683,111491,106563,109035,115275,122936,127137,135076,132981,117937,120326,127437,137551,139949,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","18","333","    Machinery manufacturing",102552,114032,111265,113263,105758,99265,97805,104666,114887,122252,129732,129727,115561,122087,136712,143554,144638,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","19","334","    Computer and electronic products manufacturing",196320,192199,186948,225875,173032,172391,193298,201530,211046,223441,227248,234108,228922,248999,248885,252647,255135,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","20","335","    Electrical equipment, appliance, and components manufacturing",47096,40648,44680,45784,44294,43690,45610,42106,43247,51434,50193,55089,50177,49971,47393,49083,50593,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",112638,124294,135220,138065,125256,136156,144296,140278,136908,134632,125258,91667,48439,92904,111116,126297,138009,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","22","3364-3366, 3369","    Other transportation equipment manufacturing",62702,66920,73958,71241,77007,73024,72666,75954,89914,96266,114048,111581,111855,112157,115436,116967,123241,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","23","337","    Furniture and related products manufacturing",28024,29720,31718,33599,31314,31339,30479,31083,33783,34584,32498,27943,23068,22225,22495,23860,24656,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","24","339","    Miscellaneous manufacturing",52507,55439,57820,59399,57515,60992,62101,63856,66198,70247,71869,74889,80209,81221,78062,78639,82494,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","25","...","   Nondurable goods manufacturing",562747,582413,616836,628351,643431,638044,665203,710661,744700,798862,824295,819676,852439,873990,903467,940296,939952,954824
"00000","United States","","200","Gross domestic product (GDP) by state","26","311-312","    Food and beverage and tobacco products manufacturing",136109,140634,162571,164073,175658,177284,180382,177589,179914,194825,194404,201150,243160,229730,216720,230614,235106,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","27","313-314","    Textile mills and textile product mills",27443,28100,28512,28004,25017,24156,18802,22287,20783,20170,19369,17813,15133,15555,15075,16254,16811,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","28","315-316","    Apparel and leather and allied products manufacturing",25236,23449,22422,22183,19526,18189,15530,14612,13860,12878,11856,11583,9924,10516,10316,10282,10409,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","29","322","    Paper products manufacturing",55592,55972,59528,62366,53818,54397,51301,53086,51945,58187,55823,51056,58506,55313,52536,51759,51941,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","30","323","    Printing and related support activities",37472,39698,42194,43724,42874,42271,42360,42939,44649,46974,47786,44909,39263,38800,37936,37059,36844,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","31","324","    Petroleum and coal products manufacturing",47975,50432,45490,53088,69066,51176,82119,105662,142706,140854,154948,156777,114617,129979,169180,181701,169741,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","32","325","    Chemical products manufacturing",174914,182037,189790,189018,193419,207080,211458,230121,227299,260582,276412,280057,310296,330822,337154,341542,345728,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","33","326","    Plastics and rubber products manufacturing",58008,62090,66329,65895,64053,63490,63251,64366,63543,64392,63696,56330,61540,63274,64551,71085,73373,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","34","42","  Wholesale trade",530163,565537,585912,624982,617923,617210,647140,703487,759368,815675,860843,877814,822846,868469,907257,965696,998496,1037693
"00000","United States","","200","Gross domestic product (GDP) by state","35","44-45","  Retail trade",588376,635762,661729,695614,713514,738289,775840,802663,848767,878064,877606,856111,842134,868800,891689,932560,971357,1014009
"00000","United States","","200","Gross domestic product (GDP) by state","36","48-49","  Transportation and warehousing",256054,278230,288277,305615,307765,305254,320862,351124,375119,407597,409597,422352,398843,425131,446857,464130,481439,506202
"00000","United States","","200","Gross domestic product (GDP) by state","37","481","   Air transportation",53142,53521,56069,55983,47975,50954,53086,58655,59987,64602,68765,64012,63725,72192,74304,75224,79554,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","38","482","   Rail transportation",20036,22250,22627,23347,23406,21798,23530,25358,28110,32163,32365,37551,33680,35012,37931,42044,43862,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","39","483","   Water transportation",6613,6515,6646,8096,8531,7328,8574,9004,9267,13165,14674,16851,16609,15913,15539,15358,16310,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","40","484","   Truck transportation",77411,85766,92536,98297,97581,97270,101606,109316,116829,125160,123016,119879,109285,113293,121745,127428,131467,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","41","485","   Transit and ground passenger transportation",15059,16054,17563,18344,19004,19444,21434,23125,23634,25938,26290,26888,27244,28046,29516,29831,30933,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","42","486","   Pipeline transportation",6925,9782,10418,9311,16309,10223,10547,10903,10136,11022,13357,15868,14018,18710,19417,20703,20994,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","43","487-488, 492","   Other transportation and support activities",55869,59711,57975,65747,69313,71855,73473,81209,89081,94747,89861,95775,88407,95722,101823,105129,108706,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","44","493","   Warehousing and storage",20997,24630,24443,26490,25646,26381,28613,33555,38074,40799,41270,45527,45875,46243,46582,48412,49613,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","45","51","  Information",395716,435477,486117,472222,501212,549460,563974,620785,641552,649017,702387,730484,705347,730179,728431,741604,779185,807988
"00000","United States","","200","Gross domestic product (GDP) by state","46","511","   Publishing industries, except Internet (includes software)",97634,108492,139560,116126,115696,136601,145289,160663,172476,161370,190366,187148,175756,182366,188574,193885,206739,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","47","512","   Motion picture and sound recording industries",40399,49018,60489,54297,63655,69835,66568,72648,60843,65003,73671,83206,90850,107498,105905,111622,114880,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","48","515, 517","   Broadcasting and telecommunications",227369,242349,256749,277856,282678,281979,289117,313252,336424,341041,373754,388783,372266,370842,361275,368759,380074,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","49","518, 519","   Data processing, internet publishing, and other information services",30314,35619,29319,23943,39182,61045,63000,74223,71809,81603,64596,71346,66476,69472,72677,67338,77493,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1623098,1722982,1852948,1992384,2156688,2246377,2331730,2424253,2641063,2770707,2877106,2804513,2874032,2951552,3052428,3218172,3381737,3527046
"00000","United States","","200","Gross domestic product (GDP) by state","51","52","   Finance and insurance",578583,639809,679479,750436,817492,835186,866781,890279,991844,1048838,1040521,907226,969254,1005832,1038026,1125779,1206931,1261274
"00000","United States","","200","Gross domestic product (GDP) by state","52","521-522","    Federal Reserve banks, credit intermediation, and related services",234130,269056,308675,328034,354651,401612,419209,390442,426193,436701,420460,417408,399458,410157,437783,470210,519334,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","53","523","    Securities, commodity contracts, and investments",120282,119663,118352,131042,183338,163355,145017,156039,195402,223633,200617,119930,186701,199473,190332,218250,223825,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","54","524","    Insurance carriers and related activities",216715,237630,235128,275761,262717,251702,280436,320255,343555,363782,392633,339636,357572,365176,379452,398872,421445,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","55","525","    Funds, trusts, and other financial vehicles",7455,13459,17324,15600,16786,18517,22119,23543,26693,24722,26811,30252,25524,31026,30458,38447,42326,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","56","53","   Real estate and rental and leasing",1044516,1083173,1173468,1241947,1339196,1411191,1464949,1533974,1649219,1721869,1836585,1897287,1904778,1945721,2014402,2092393,2174806,2265773
"00000","United States","","200","Gross domestic product (GDP) by state","57","531","    Real estate",937699,969683,1045740,1105440,1189291,1263149,1320367,1392758,1503645,1551875,1670844,1718954,1740571,1783933,1849196,1914768,1988655,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","58","532-533","    Rental and leasing services and lessors of intangible assets",106817,113490,127728,136507,149905,148042,144582,141216,145574,169995,165741,178333,164207,161788,165206,177625,186152,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","59","54, 55, 56","  Professional and business services",845502,919411,1002958,1111168,1161460,1195477,1248286,1340537,1442711,1541585,1657218,1753090,1661133,1729714,1812629,1917440,1981713,2098321
"00000","United States","","200","Gross domestic product (GDP) by state","60","54","   Professional, scientific, and technical services",503273,546844,600152,656024,691557,718163,739508,787405,842818,903735,967317,1053337,1000361,1022001,1074069,1127001,1154791,1220849
"00000","United States","","200","Gross domestic product (GDP) by state","61","5411","    Legal services",107127,117793,125168,133629,145781,153672,166427,180865,193891,202928,215331,238106,213934,206249,217826,222163,224629,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","62","5415","    Computer systems design and related services",75259,88659,102611,113591,117849,109944,115718,122975,134958,149018,167141,177472,180391,189914,206973,228443,234619,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","63","5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",320886,340392,372374,408804,427927,454547,457363,483565,513969,551789,584845,637759,606036,625838,649270,676395,695543,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","64","55","   Management of companies and enterprises",126705,140994,150283,173206,174415,176606,187483,206668,219345,238491,259539,261516,247136,268205,281044,306195,323165,344991
"00000","United States","","200","Gross domestic product (GDP) by state","65","56","   Administrative and waste management services",215524,231573,252523,281938,295488,300709,321295,346464,380548,399359,430362,438237,413636,439508,457515,484244,503758,532481
"00000","United States","","200","Gross domestic product (GDP) by state","66","561","    Administrative and support services",193590,208834,227464,255733,266703,269969,288625,314078,346586,367414,394722,401950,376448,393992,417753,442793,460940,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","67","562","    Waste management and remediation services",21935,22738,25058,26205,28785,30740,32670,32385,33963,31945,35641,36287,37187,45516,39762,41451,42818,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","68","61, 62","  Educational services, health care, and social assistance",581189,605718,641757,681448,733629,791366,844545,905587,949879,1012912,1064588,1145309,1214033,1248460,1287042,1333546,1380352,1435333
"00000","United States","","200","Gross domestic product (GDP) by state","69","61","   Educational services",71750,74486,80386,86067,91658,98623,106519,116747,121000,129910,138670,149285,162991,169271,175464,181249,184567,191080
"00000","United States","","200","Gross domestic product (GDP) by state","70","62","   Health care and social assistance",509439,531232,561372,595381,641971,692744,738026,788841,828880,883002,925919,996023,1051042,1079189,1111578,1152297,1195785,1244253
"00000","United States","","200","Gross domestic product (GDP) by state","71","621","    Ambulatory health care services",251234,258553,271193,288414,312224,335422,352161,377031,398480,424555,443395,475849,498278,517567,535993,557983,576560,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","72","622-623","    Hospitals and nursing and residential care facilities",218802,229800,242443,254492,273875,297523,320592,343878,357810,381624,402093,434131,463700,469956,484354,500921,516140,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","73","624","    Social assistance",39403,42879,47736,52474,55872,59798,65274,67931,72590,76823,80431,86044,89065,91666,91231,93393,103085,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",301639,321320,353300,385823,389251,413199,432226,461447,481271,509974,532105,535064,522304,540671,561380,595350,621719,657087
"00000","United States","","200","Gross domestic product (GDP) by state","75","71","   Arts, entertainment, and recreation",80375,82843,90409,98977,96552,103756,111111,117987,122261,130279,137638,140134,138842,144446,147482,155875,163605,174565
"00000","United States","","200","Gross domestic product (GDP) by state","76","711-712","    Performing arts, spectator sports, museums, and related activities",37136,40515,44387,49224,51435,56483,61588,64811,66786,73063,74966,78174,78762,78767,80642,85084,90168,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","77","713","    Amusements, gambling, and recreation industries",43239,42328,46022,49753,45117,47272,49523,53175,55475,57217,62672,61959,60081,65679,66840,70791,73437,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","78","72","   Accommodation and food services",221264,238477,262891,286846,292698,309443,321115,343460,359009,379695,394467,394930,383462,396225,413899,439475,458114,482522
"00000","United States","","200","Gross domestic product (GDP) by state","79","721","    Accommodation",70555,75327,83796,93010,90000,92787,94270,102574,109044,115762,124078,122725,106640,110687,119889,126844,132746,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","80","722","    Food services and drinking places",150708,163150,179095,193836,202698,216656,226845,240886,249965,263933,270390,272205,276822,285538,294010,312631,325368,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","81","81","  Other services, except government",230792,248816,260938,279926,266451,285942,284899,298477,311721,325716,330527,330843,329510,332405,338892,355667,369308,385287
"00000","United States","","200","Gross domestic product (GDP) by state","82","92"," Government",1089814,1136636,1198924,1269868,1338493,1417384,1495582,1579006,1656161,1735901,1827248,1919169,1976587,2043037,2068434,2088708,2108808,2141002
"00000","United States","","200","Gross domestic product (GDP) by state","83","...","  Federal civilian",217826,223966,231968,245007,247085,265996,281120,295146,305230,318108,331698,343067,358258,382209,388755,388836,379284,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","84","...","  Federal military",112314,112117,114139,117996,122399,134193,150988,160590,173855,182584,192654,206951,216539,224094,226475,226307,222181,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","85","...","  State and local",759673,800552,852817,906866,969010,1017196,1063475,1123269,1177075,1235210,1302894,1369152,1401790,1436733,1453205,1473565,1507343,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","86","11, 21","Natural resources and mining",203940,181303,177068,208990,225189,209211,256157,310256,355217,401751,456017,555982,428004,491937,595873,601969,666033,671566
"00000","United States","","200","Gross domestic product (GDP) by state","87","42, 44-45","Trade",1118539,1201299,1247641,1320595,1331437,1355499,1422980,1506150,1608135,1693739,1738449,1733925,1664980,1737269,1798946,1898256,1969853,2051702
"00000","United States","","200","Gross domestic product (GDP) by state","88","...","Transportation and utilities",428194,442103,468334,485781,491739,485391,507941,553809,576470,637595,644671,659866,649628,692118,718893,728707,758101,797549
"00000","United States","","200","Gross domestic product (GDP) by state","89","...","Private goods-producing industries",1934724,1996890,2089172,2226663,2191680,2176816,2314385,2516944,2713495,2904200,3025336,3023086,2732011,2864139,3049799,3183229,3314438,3414998
"00000","United States","","200","Gross domestic product (GDP) by state","90","...","Private services-providing industries",5524670,5897126,6313992,6729347,7031868,7322712,7636582,8111046,8652802,9141245,9547052,9693093,9620968,9962369,10298641,10788741,11241969,11760313
"01000","Alabama","5","200","Gross domestic product (GDP) by state","1","...","All industry total",104309,109776,115704,120428,124885,130180,136270,148769,157914,165131,170431,173712,169385,176355,182395,186960,194671,199440
"01000","Alabama","5","200","Gross domestic product (GDP) by state","2","..."," Private industries",86848,91663,96879,101018,105009,108727,113454,124732,132679,138792,141811,144089,138549,144622,149964,154599,162028,166329
"01000","Alabama","5","200","Gross domestic product (GDP) by state","3","11","  Agriculture, forestry, fishing, and hunting",1927,2020,2064,1911,2160,1738,2361,2995,2728,2235,2021,2221,2021,2135,1878,2360,3224,3133
"01000","Alabama","5","200","Gross domestic product (GDP) by state","4","111-112","   Farms",1365,1435,1491,1319,1595,1201,1802,2406,2140,1557,1369,1560,1406,1407,1180,1631,2508,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","5","113-115","   Forestry, fishing, and related activities",561,584,573,592,565,537,559,589,588,678,652,661,616,728,698,729,716,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","6","21","  Mining",1288,1323,1215,1291,1401,1223,1593,1983,2754,2908,3447,4076,2977,3303,3369,3142,3154,2670
"01000","Alabama","5","200","Gross domestic product (GDP) by state","7","211","   Oil and gas extraction",284,217,237,405,526,447,758,962,1531,1661,1932,2412,1284,1207,1371,1253,1281,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","8","212","   Mining, except oil and gas",874,961,875,807,791,712,774,951,1138,1128,1390,1539,1606,2002,1899,1775,1753,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","9","213","   Support activities for mining",129,144,103,79,85,64,60,69,86,120,125,126,87,94,98,114,120,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","10","22","  Utilities",3083,2978,3301,3381,3542,3435,3624,3948,3871,4429,4614,4672,4981,5440,5569,5189,5484,5374
"01000","Alabama","5","200","Gross domestic product (GDP) by state","11","23","  Construction",4632,5255,5684,6142,6345,6224,6469,7140,8033,8721,9160,8480,7861,7725,7481,7842,8062,8263
"01000","Alabama","5","200","Gross domestic product (GDP) by state","12","31-33","  Manufacturing",19684,20613,21495,21728,21219,21339,21939,26558,28207,29697,29231,28910,25328,27569,30954,33153,34092,35322
"01000","Alabama","5","200","Gross domestic product (GDP) by state","13","...","   Durable goods manufacturing",10072,11087,12129,11613,11227,11827,12117,15087,17122,18302,17848,18321,13554,15911,17392,19390,20176,21380
"01000","Alabama","5","200","Gross domestic product (GDP) by state","14","321","    Wood products manufacturing",1190,1145,1278,974,988,954,985,1233,1307,1321,1002,783,703,860,926,839,1044,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","15","327","    Nonmetallic mineral products manufacturing",750,778,751,720,701,741,724,820,862,927,1064,803,723,691,655,575,612,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","16","331","    Primary metals manufacturing",1491,1640,1759,1504,1275,1523,1356,2145,2490,2859,3122,4695,2167,2560,3366,4296,3730,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","17","332","    Fabricated metal products",1669,1716,1850,1785,1626,1619,1713,1879,2157,2221,2295,2454,2127,1979,1919,2195,2360,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","18","333","    Machinery manufacturing",692,919,966,968,852,698,497,783,981,1081,1069,1031,966,912,1082,1129,1070,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","19","334","    Computer and electronic products manufacturing",1149,1193,1250,1134,978,1020,1159,1585,1607,1596,1472,1064,1220,1189,1200,1049,970,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","20","335","    Electrical equipment, appliance, and components manufacturing",573,417,423,442,623,607,671,636,629,760,606,632,634,545,535,580,640,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",876,1410,1624,1874,1946,2352,2846,3441,3840,3965,3679,3230,1472,3216,4418,5310,5864,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","22","3364-3366, 3369","    Other transportation equipment manufacturing",636,787,1023,996,1179,1210,1179,1409,1899,2075,2232,2463,2549,2898,2266,2309,2736,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","23","337","    Furniture and related products manufacturing",630,682,788,807,688,713,641,754,899,1035,851,679,547,558,601,597,661,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","24","339","    Miscellaneous manufacturing",416,399,416,409,372,390,347,403,450,462,455,487,446,503,424,510,489,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","25","...","   Nondurable goods manufacturing",9612,9527,9367,10115,9992,9513,9822,11471,11085,11394,11383,10589,11773,11658,13563,13763,13916,13943
"01000","Alabama","5","200","Gross domestic product (GDP) by state","26","311-312","    Food and beverage and tobacco products manufacturing",1209,1283,1519,1515,1811,1860,1874,1857,1900,1862,1989,2063,2408,2028,1914,2117,2301,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","27","313-314","    Textile mills and textile product mills",1489,1539,1495,1521,1509,1447,1006,1403,1141,920,860,649,465,517,459,602,724,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","28","315-316","    Apparel and leather and allied products manufacturing",1110,945,996,817,692,572,657,642,663,795,493,402,261,269,228,255,243,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","29","322","    Paper products manufacturing",2072,2352,2162,2690,2471,2132,1943,2572,2596,2864,2789,2584,2969,2790,2490,2711,2385,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","30","323","    Printing and related support activities",323,326,346,346,338,373,363,330,303,298,268,253,204,165,152,178,212,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","31","324","    Petroleum and coal products manufacturing",404,437,285,397,379,483,685,1209,1440,1058,1266,1118,941,972,3400,3070,2738,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","32","325","    Chemical products manufacturing",1861,1519,1481,1816,1716,1606,2279,2532,2095,2581,2631,2547,3260,3730,3684,3532,3783,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","33","326","    Plastics and rubber products manufacturing",1143,1125,1083,1013,1075,1039,1016,926,948,1016,1088,974,1265,1188,1234,1297,1529,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","34","42","  Wholesale trade",6672,6749,6889,7253,7128,7113,7420,8233,9059,9675,9948,10297,9719,9994,10163,10408,10748,11039
"01000","Alabama","5","200","Gross domestic product (GDP) by state","35","44-45","  Retail trade",8675,9752,10066,10140,9834,10236,10827,11253,12211,12623,12728,12558,12284,12613,12792,13125,14642,15029
"01000","Alabama","5","200","Gross domestic product (GDP) by state","36","48-49","  Transportation and warehousing",2770,3157,3268,3446,3393,3389,3548,3879,4261,4647,4603,4891,4481,4816,5026,5247,5441,5733
"01000","Alabama","5","200","Gross domestic product (GDP) by state","37","481","   Air transportation",56,64,71,76,50,63,69,68,93,98,97,99,88,121,126,118,107,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","38","482","   Rail transportation",343,370,374,402,381,367,399,441,487,549,556,626,565,602,641,728,751,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","39","483","   Water transportation",45,46,43,57,55,46,70,75,82,117,204,307,296,329,319,283,274,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","40","484","   Truck transportation",1486,1676,1799,1868,1827,1820,1874,2009,2154,2328,2201,2082,1851,1959,2001,2027,2101,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","41","485","   Transit and ground passenger transportation",37,58,68,70,66,71,78,88,89,99,100,108,110,117,120,113,121,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","42","486","   Pipeline transportation",47,90,94,69,108,93,102,112,120,142,170,219,199,245,284,393,406,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","43","487-488, 492","   Other transportation and support activities",504,551,520,583,611,648,645,742,814,879,841,914,845,904,958,938,998,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","44","493","   Warehousing and storage",251,304,299,321,294,281,311,343,422,435,433,536,527,539,576,647,685,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","45","51","  Information",3577,3598,3710,3665,4245,4617,4495,4861,5192,5070,4993,4947,4695,4539,4400,4260,4538,4525
"01000","Alabama","5","200","Gross domestic product (GDP) by state","46","511","   Publishing industries, except Internet (includes software)",458,482,594,477,519,653,755,902,1007,922,1161,1157,1105,1055,1036,1030,1038,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","47","512","   Motion picture and sound recording industries",62,74,87,87,99,113,119,106,104,117,197,118,188,189,179,208,207,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","48","515, 517","   Broadcasting and telecommunications",2929,2899,2911,3057,3490,3602,3408,3623,3862,3818,3440,3453,3227,3082,2989,2853,3136,"(NA)"
"01000","Alabama","5","200","Gross domestic product (GDP) by state","49","518, 519","   Data processing, internet publishing, and other information services",127,143,118,44,137,249,212,231,219,213,196,219,175,213,196,169,157,"(NA)"
